CarTurnLog -- start condition -- 
 mTarget, -1230.295410,-510.817566
 mAngleToTarget, 2.244185
 mMoveAngleError, -3.141021
 mDistError, 0.620492
 mMoveAngleSgn, -1.000000
 mShoulderAngleError, -3.050342
 mShoulderAngleSgn, -1.000000
 mPosition, -1229.908447,-510.332520
 mIsPerfect, 0

CarTurnLog -- iterations -- 
 mPositionX, mPositionZ, mMoveAngle, mShoulderAngle, mSpeed, mT, mDistToTarget, mAngleToTarget, mMoveAngleError, mAbsMoveAngleError, mShoulderAngleError, mAbsShoulderAngleError
-1225.037598, -504.056488, -0.922936, 2.244445, 0.101926, 80.000000, 8.564857, 2.231766, -3.128484, 3.128484, 0.000000, 0.000000
-1224.914673, -503.893860, -0.923576, 2.244445, 0.101926, 82.000000, 8.768697, 2.231446, -3.128163, 3.128163, 0.000000, 0.000000
-1224.791870, -503.731171, -0.924216, 2.244445, 0.101926, 84.000000, 8.972511, 2.231127, -3.127843, 3.127843, 0.000000, 0.000000
-1224.669189, -503.568390, -0.924856, 2.244445, 0.101926, 86.000000, 9.176323, 2.230805, -3.127525, 3.127525, 0.000000, 0.000000
-1224.546631, -503.405518, -0.925496, 2.244445, 0.101926, 88.000000, 9.380135, 2.230481, -3.127209, 3.127209, 0.000000, 0.000000
-1224.424072, -503.242584, -0.926136, 2.244445, 0.101926, 90.000000, 9.583995, 2.230166, -3.126883, 3.126883, 0.000000, 0.000000
-1224.301636, -503.079559, -0.926776, 2.244445, 0.101926, 92.000000, 9.787853, 2.229850, -3.126560, 3.126560, 0.000000, 0.000000
-1224.179321, -502.916473, -0.927416, 2.244445, 0.101926, 94.000000, 9.991687, 2.229532, -3.126238, 3.126238, 0.000000, 0.000000
-1224.057129, -502.753296, -0.928056, 2.244445, 0.101926, 96.000000, 10.195518, 2.229213, -3.125917, 3.125917, 0.000000, 0.000000
-1223.935059, -502.590057, -0.928695, 2.244445, 0.101926, 98.000000, 10.399325, 2.228893, -3.125597, 3.125597, 0.000000, 0.000000
-1223.813110, -502.426727, -0.929335, 2.244445, 0.101926, 100.000000, 10.603131, 2.228571, -3.125279, 3.125279, 0.000000, 0.000000
-1223.691284, -502.263306, -0.929975, 2.244445, 0.101926, 102.000000, 10.806935, 2.228247, -3.124964, 3.124964, 0.000000, 0.000000
-1223.569458, -502.099823, -0.930615, 2.244445, 0.101926, 104.000000, 11.010789, 2.227931, -3.124639, 3.124639, 0.000000, 0.000000
-1223.447754, -501.936249, -0.931255, 2.244445, 0.101926, 106.000000, 11.214642, 2.227614, -3.124316, 3.124316, 0.000000, 0.000000
-1223.326172, -501.772614, -0.931895, 2.244445, 0.101926, 108.000000, 11.418469, 2.227296, -3.123995, 3.123995, 0.000000, 0.000000
-1223.204712, -501.608887, -0.932535, 2.244445, 0.101926, 110.000000, 11.622296, 2.226976, -3.123674, 3.123674, 0.000000, 0.000000
-1223.083374, -501.445099, -0.933175, 2.244445, 0.101926, 112.000000, 11.826098, 2.226656, -3.123355, 3.123355, 0.000000, 0.000000
-1222.962158, -501.281219, -0.933815, 2.244445, 0.101926, 114.000000, 12.029900, 2.226334, -3.123037, 3.123037, 0.000000, 0.000000
-1222.841064, -501.117279, -0.934455, 2.244445, 0.101926, 116.000000, 12.233677, 2.226012, -3.122719, 3.122719, 0.000000, 0.000000
